num A B C D E F G H I J label
0 0 1 0 0 1 1 0 0 0 0 yes
1 1 0 1 1 1 0 0 1 1 0 no
2 1 0 1 0 1 0 1 1 1 0 no
3 1 1 1 1 1 1 1 1 1 0 yes
4 1 1 1 0 1 0 0 1 0 1 yes
5 1 1 0 1 1 1 0 1 1 1 no
6 0 1 1 1 1 1 0 0 1 0 no
7 1 1 1 1 1 1 0 1 0 1 yes
8 1 0 1 1 0 0 0 0 1 0 yes
9 1 1 1 0 1 1 1 0 0 0 no
10 0 0 0 1 1 0 1 1 0 0 yes
11 0 0 1 0 0 1 1 0 0 0 yes
12 1 0 0 0 0 0 0 1 0 0 yes
13 1 1 1 0 0 0 0 0 1 1 no
14 1 0 1 1 0 0 1 0 0 1 yes
15 1 1 1 0 1 1 1 1 0 1 no
16 1 1 1 1 0 0 0 1 0 0 yes
17 0 1 0 0 1 1 0 0 1 1 no
18 0 0 1 1 0 0 0 0 0 1 yes
19 1 0 1 1 1 0 1 0 1 1 no
20 0 0 0 0 1 0 0 0 1 1 no
21 1 0 1 0 1 1 0 1 0 0 no
22 0 1 0 1 1 1 1 0 0 1 yes
23 0 0 0 0 1 0 0 0 1 0 no
24 0 0 0 1 1 1 0 1 0 1 yes
25 1 1 1 0 1 1 1 0 1 0 yes
26 1 0 0 0 1 1 0 0 0 1 yes
27 1 1 1 0 1 1 0 0 0 0 no
28 1 1 1 1 0 0 0 1 0 0 yes
29 1 0 1 0 1 1 0 1 0 1 yes
30 0 1 0 0 1 1 0 1 0 1 yes
31 1 1 1 0 0 1 1 0 0 1 yes
32 0 0 1 1 1 1 0 1 1 1 no
33 0 1 1 1 0 0 0 1 0 1 no
34 0 1 1 1 0 0 0 1 1 1 no
35 0 1 0 0 0 0 0 0 0 1 no
36 1 0 1 0 0 0 0 0 1 0 yes
37 0 0 1 0 1 0 1 0 1 0 yes
38 1 0 0 0 0 1 0 1 0 0 no
39 1 0 0 0 1 1 0 1 0 0 yes
40 1 1 0 0 1 1 1 0 0 1 no
41 0 1 1 0 1 0 0 0 1 0 yes
42 0 0 0 1 1 0 1 0 0 1 yes
43 1 1 0 0 1 1 1 0 1 1 yes
44 1 1 1 1 0 1 0 1 1 0 no
45 0 0 1 0 1 0 0 0 0 0 yes
46 1 1 1 1 1 0 0 1 0 1 no
47 0 1 0 0 1 1 1 1 1 0 no
48 0 1 1 0 0 1 1 1 1 0 yes
49 0 1 0 1 0 1 1 1 1 1 yes
